[ 2013-04-16T10:21:01+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | SQL: SHOW COLUMNS FROM `course` [ RunTime:0.208956s ]
[ 2013-04-16T10:21:01+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:21:01+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | NOTIC: [8] Use of undefined constant nav - assumed 'nav' CommonAction.class.php 第 86 行.
[ 2013-04-16T10:21:01+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | SQL: SHOW COLUMNS FROM `teach_task` [ RunTime:0.209746s ]
[ 2013-04-16T10:21:01+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | SQL: SHOW COLUMNS FROM `course` [ RunTime:0.208885s ]
[ 2013-04-16T10:21:01+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | NOTIC: [8] Undefined index: _ACCESS_LIST CommonAction.class.php 第 197 行.
[ 2013-04-16T10:21:01+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | NOTIC: [8] Use of undefined constant nav - assumed 'nav' CommonAction.class.php 第 86 行.
[ 2013-04-16T10:21:02+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | SQL: SHOW COLUMNS FROM `teach_task` [ RunTime:0.217440s ]
[ 2013-04-16T10:21:02+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | SQL: SHOW COLUMNS FROM `course` [ RunTime:0.209030s ]
[ 2013-04-16T10:21:02+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | SQL: SHOW COLUMNS FROM `major` [ RunTime:0.208361s ]
[ 2013-04-16T10:21:02+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | SQL: SELECT * FROM `major` WHERE orgid=2 and level=1  [ RunTime:0.207907s ]
[ 2013-04-16T10:21:02+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | SQL: SHOW COLUMNS FROM `config` [ RunTime:0.208406s ]
[ 2013-04-16T10:21:03+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | SQL: SELECT * FROM `config` WHERE varname='spring_semester' LIMIT 1   [ RunTime:0.206099s ]
[ 2013-04-16T10:21:03+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | SQL: SELECT * FROM `config` WHERE varname='spring_semester' LIMIT 1   [ RunTime:0.210017s ]
[ 2013-04-16T10:21:03+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | SQL: SHOW COLUMNS FROM `data_dict` [ RunTime:0.209899s ]
[ 2013-04-16T10:21:03+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | SQL: SELECT fd_value as id,fd_mean as name FROM `data_dict` WHERE tb_name='course' and fd_name='semester' ORDER BY seq  [ RunTime:0.210623s ]
[ 2013-04-16T10:21:04+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | SQL: SHOW COLUMNS FROM `data_dict` [ RunTime:0.714549s ]
[ 2013-04-16T10:21:05+08:00 ] /xbsdv5/index.php/UndergraduatePlanCourse/index/menuid/188 | SQL: SELECT fd_value as id,fd_mean as name FROM `data_dict` WHERE tb_name='course' and fd_name='level' ORDER BY seq  [ RunTime:1.307528s ]
